15786048 788  1011 4 -inf 36
7659584 786  1122 4 -inf 37
7401536 534  2223 4 -inf 37
7397568 786  2021 4 -inf 40
3334336 785  2122 4 -inf 40
3207360 537  2213 5 -inf 23
3203520 533  3334 8 -5 0
3203458 520  2324 8 -3 0
3203334 528  2414 8 -1 0
16548864 17207  1122 0 -inf 10
16290816 17331  4233 2 -inf 12
16289856 25107  1011 2 -inf 12
8163392 25099  3324 4 -inf 11
8163332 24593  2433 4 -inf 26
8163392 8721  2213 5 -inf 48
8159552 560  3344 6 -inf 16
8159489 592  1122 6 -inf 48
7901441 16400  1303 8 -1 0
16548864 17243  2021 0 -inf -10
12485632 21083  1112 2 -inf -10
12231680 851  1011 2 -inf 0
4105216 819  2122 2 -inf 16
3978240 882  2223 4 -inf 5
3974272 594  1213 4 -inf 18
3966336 593  4231 4 -inf 27
4030848 16465  1303 6 -inf 27
4031104 5  2333 7 -inf 20
4031040 36  4142 7 -inf 9
3999296 34  0313 7 -inf 48
3999040 33  1324 8 -3 0
3998788 34  3344 8 -1 0
16548864 16735  1000 0 -inf -12
24937472 17231  0010 0 -inf -12
16548864 17239  1000 0 -inf -12
20874240 8799  2122 0 -inf 14
20747264 8923  2213 4 -inf 5
20743424 2067  4233 7 -inf 22
20742464 48  3344 7 -inf 25
20742401 1040  4443 7 -inf 48
20742432 512  1304 8 -3 0
20742192 16384  0403 8 -1 0
32556032 815  0011 1 -inf -2
16040960 823  1121 1 -inf -2
15909888 886  2131 1 -inf -2
15844352 890  3121 1 -inf -2
15909888 892  2131 1 -inf -2
15844352 861  3121 1.0 -inf -2.0
15909888 733  0213 3 -inf -7
15893760 31  2122 3 -inf 16
15766784 91  1324 4 -inf 15
15766532 48  2233 6 -inf 42
15762500 17  1011 6 -inf 34
7636036 257  1102 8 -3 0
7390276 32  3344 8 -1 0
16040960 607  1121 1 -inf -2
15909888 351  2131 1 -inf -2
15844352 4383  4233 3 -inf 16
15843392 8222  3122 4 -inf 30
15781952 29  3334 6 -inf 30
15781890 272  0212 6 -inf 32
15773698 24  2213 6 -inf 52
16548864 17323  1000 0 -inf -12
24937472 9131  2021 0 -inf -4
16548864 16765  1000 0 -inf -12
16548864 8511  1122 0 -inf 12
16290816 8543  2223 2 -inf 12
16548864 894  0102 0 -inf -2
16040960 1018  1121 0 -inf -2
16040960 687  0213 3 -inf 6
16290816 17071  2213 4 -inf 6
20874240 17085  4233 2 -inf 10
12485632 17019  4232 0 -inf 6
16548864 17083  4233 2 -inf 12
16547904 17171  1122 2.0 -inf 12.0
16040960 893  1121 0 -inf -2
16548864 9007  1122 0 -inf 10
16290816 9067  2223 2 -inf 0
16548864 16575  4233 2 -inf 10
16547904 16655  1122 2 -inf 10
16040960 575  1122 1 -inf 14
16548864 16703  1122 0 -inf 12
16290816 16765  2223 1 -inf -10
16548864 8891  1122 0 -inf 10
16290816 8923  2213 4 -inf -2
16548864 4671  4233 1 -inf 3
16547904 814  1122 2 -inf 12
16290816 9007  1011 0 -inf 12
16290816 16575  4233 2 -inf 10
16548864 17211  1122 0 -inf 10
16290816 17243  2223 1 -inf -12
16548864 8829  2021 0 -inf -4
12485632 12861  0102 0 -inf -4
24937472 21301  1112 2 -inf -12
16548864 25147  1122 0 -inf 10
16290816 270907  0102 2 -inf 14
24937472 8829  0102 0 -inf -4
24429568 893  0001 0 -inf -2
33062976 16919  0011 2 -inf 7
16547904 8727  1122 2.0 -inf 12.0
16040960 4926  1000 0 -inf -4
24937472 893  0102 0 -inf -2
24429568 4925  4233 1 -inf -19
16548864 17079  4233 2.0 -inf 12.0
16547904 16663  1122 2 -inf 10
16290816 9078  2223 1.0 -inf -11.0
24937472 16766  0010 0 -inf -12
16547904 16698  3324 3 -inf 9
33062976 16667  3324 3 -inf 1
33062916 20497  2413 6 -inf 31
